target,leave_one_target_estimate,change_from_full
ENSG00000184207,-1.2863371463908049,-0.004914176649757129
ENSG00000119004,-1.2765092819753332,0.004913687765714547
ENSG00000170759,-1.276998852727818,0.004424117013229756
ENSG00000240972,-1.2771233860207516,0.004299583720296152
ENSG00000155380,-1.285706049653734,-0.004283079912686283
ENSG00000166747,-1.2772265433651042,0.004196426375943529
ENSG00000115762,-1.2772416325239824,0.004181337217065373
ENSG00000104983,-1.2773857259158645,0.004037243825183223
ENSG00000065911,-1.2854395094584954,-0.0040165397174476425
ENSG00000050393,-1.2854225195932694,-0.003999549852221618
ENSG00000162517,-1.2774851983996465,0.003937771341401275
ENSG00000150995,-1.285290323336822,-0.003867353595774281
ENSG00000196821,-1.2775988163466794,0.003824153394368368
ENSG00000164548,-1.2776460794111026,0.003776890329945104
ENSG00000101928,-1.2851725594110883,-0.003749589670040576
ENSG00000100749,-1.2776879899622355,0.0037349797788122086
ENSG00000130414,-1.2851282111962539,-0.003705241455206121
ENSG00000107643,-1.2777377959882497,0.0036851737527980877
ENSG00000170540,-1.28502233527385,-0.0035993655328021568
ENSG00000072042,-1.277871133894055,0.0035518358469928124
ENSG00000138381,-1.2779019401308198,0.0035210296102279326
ENSG00000136156,-1.2849423221141223,-0.003519352373074547
ENSG00000175324,-1.2779554469387122,0.003467522802335532
ENSG00000086232,-1.284867310926782,-0.0034443411857343342
ENSG00000123353,-1.2848303009422224,-0.003407331201174646
ENSG00000161904,-1.2780259820451176,0.0033969876959301093
ENSG00000247596,-1.2780812965836579,0.0033416731573898684
ENSG00000198055,-1.2847463286828642,-0.0033233589418164566
ENSG00000161813,-1.2847437144533616,-0.0033207447123138056
ENSG00000125970,-1.2781395642178737,0.0032834055231740766
ENSG00000111716,-1.2781819158206689,0.003241053920378878
ENSG00000137288,-1.2782107561703424,0.0032122135707053356
ENSG00000046651,-1.2782258340492172,0.003197135691830555
ENSG00000156599,-1.2782313290359266,0.0031916407051211237
ENSG00000130764,-1.2783624537186584,0.0030605160223893257
ENSG00000100523,-1.2784195059288603,0.0030034638121874124
ENSG00000184371,-1.278434665691832,0.0029883040492157953
ENSG00000175416,-1.27845624352276,0.002966726218287752
ENSG00000119396,-1.2843059742295582,-0.002883004488510421
ENSG00000154889,-1.2785578761866245,0.002865093554423215
ENSG00000118600,-1.2785848090696113,0.002838160671436496
ENSG00000148484,-1.2785918946225054,0.0028310751185423033
ENSG00000096063,-1.2842447915411608,-0.0028218218001130335
ENSG00000171612,-1.2786168190353109,0.002806150705736865
ENSG00000145715,-1.278637073463326,0.0027858962777218554
ENSG00000167815,-1.2786390234534744,0.002783946287573391
ENSG00000128585,-1.278645926221786,0.0027770435192617793
ENSG00000165704,-1.2841770458628468,-0.0027540761217990095
ENSG00000198517,-1.2786973619532553,0.0027256077877924056
ENSG00000103187,-1.2787141994686368,0.0027087702724108986
ENSG00000076513,-1.278721916451181,0.002701053289866806
ENSG00000138398,-1.2787336407024474,0.0026893290386003077
ENSG00000134686,-1.2787338145122504,0.002689155228797313
ENSG00000138134,-1.2787394860189962,0.002683483722051516
ENSG00000198931,-1.2787537879806807,0.002669181760367012
ENSG00000242616,-1.2787593890995368,0.002663580641510954
ENSG00000104856,-1.278783195909667,0.0026397738313808095
ENSG00000112146,-1.2788071570929165,0.002615812648131266
ENSG00000221914,-1.2840299508900601,-0.002606981149012366
ENSG00000149932,-1.2788206843777057,0.0026022853633420606
ENSG00000172354,-1.2788243368341103,0.0025986329069374037
ENSG00000107854,-1.278839947742416,0.002583021998631807
ENSG00000122359,-1.2788517194133122,0.0025712503277355303
ENSG00000126214,-1.2788901696051667,0.002532800135881086
ENSG00000123728,-1.2788961384321131,0.0025268313089346073
ENSG00000133056,-1.2839361787831223,-0.0025132090420745268
ENSG00000169718,-1.2789224294974737,0.0025005402435740454
ENSG00000127824,-1.2789270274734565,0.0024959422675912
ENSG00000157823,-1.2789319224681117,0.002491047272936031
ENSG00000066027,-1.2789486565396952,0.002474313201352496
ENSG00000170248,-1.2789735789518721,0.0024493907891756095
ENSG00000243317,-1.278990985812476,0.0024319839285718015
ENSG00000117450,-1.278992759016149,0.002430210724898796
ENSG00000147164,-1.2789951553842047,0.0024278143568430277
ENSG00000095380,-1.2790172311246792,0.0024057386163685024
ENSG00000166598,-1.2838181309995242,-0.002395161258476497
ENSG00000159840,-1.2790483206093874,0.0023746491316603002
ENSG00000126602,-1.2790499752039854,0.0023729945370623007
ENSG00000109466,-1.2790624933611439,0.0023604763799038864
ENSG00000158161,-1.2790663777690365,0.0023565919720112127
ENSG00000135002,-1.2790686880045747,0.0023542817364730073
ENSG00000131981,-1.2790697082062379,0.0023532615348098584
ENSG00000154978,-1.2790778809839538,0.0023450887570939383
ENSG00000079459,-1.28375646418759,-0.0023334944465422947
ENSG00000107771,-1.2790901096385128,0.0023328601025349727
ENSG00000059804,-1.279091717652579,0.0023312520884688492
ENSG00000160551,-1.279107521410705,0.0023154483303426954
ENSG00000019582,-1.2791142988591044,0.002308670881943309
ENSG00000138061,-1.2791167591970733,0.0023062105439743963
ENSG00000076043,-1.2791314619166527,0.0022915078243950227
ENSG00000123395,-1.2837106134466911,-0.002287643705643383
ENSG00000170906,-1.283710054727132,-0.00228708498608432
ENSG00000170832,-1.2791475549837499,0.0022754147572978667
ENSG00000099385,-1.2791543017609932,0.0022686679800545395
ENSG00000164574,-1.2791558070649551,0.0022671626760926156
ENSG00000102931,-1.2791628764580436,0.0022600932830041387
ENSG00000107874,-1.28368061290197,-0.0022576431609222514
