target,max_cooks_distance,max_leverage
ENSG00000163249,0.010721931311033899,0.12547522644940454
ENSG00000131323,0.010589657407187286,0.011322867628683378
ENSG00000050327,0.00990803309065433,0.12585703604375384
ENSG00000105122,0.009233252388961612,0.005398972103187903
ENSG00000143379,0.0055357242830442,0.010965186770577166
ENSG00000008441,0.004270531307193027,0.003955498832875411
ENSG00000101247,0.004223396525602043,0.002682280166424919
ENSG00000171681,0.003822297121755235,0.004311502070533346
ENSG00000175104,0.003719929327820293,0.002767478260992356
ENSG00000113916,0.0036972181293569105,0.004643883476605435
ENSG00000100453,0.002963322925999441,0.007331412692802283
ENSG00000109320,0.002872547468312765,0.018209388052911415
ENSG00000136997,0.0028477199911799604,0.024282006628776286
ENSG00000162191,0.0027749192624977616,0.0025736056780955225
ENSG00000078900,0.0026909684287718554,0.004558991823185908
ENSG00000086730,0.0024905849773394335,0.006282783381951303
ENSG00000115415,0.0024455079545600963,0.014136041620354905
ENSG00000185811,0.0023156025771947416,0.003457802513642336
ENSG00000176024,0.0022406473364750814,0.0026828554827367118
ENSG00000172992,0.0021673743868358777,0.0021237489459975953
ENSG00000186517,0.002141559109304066,0.0059083987933203335
ENSG00000172575,0.002110663456364306,0.002749706031258777
ENSG00000156973,0.0020818762334253037,0.0014892092623598596
ENSG00000008256,0.0020756155869655147,0.001711068646129538
ENSG00000179151,0.002073425347851792,0.003550333447127605
ENSG00000163848,0.0020581221933301864,0.003198358426885964
ENSG00000165424,0.0020540338013629155,0.0015976580577687996
ENSG00000196367,0.0020417300128065348,0.0042448162711522155
ENSG00000173039,0.0020367020442482618,0.017976427049358982
ENSG00000100796,0.0020173420785467846,0.12616845968671672
ENSG00000101181,0.0019814022048602236,0.002097221397648965
ENSG00000172845,0.0018913958250346588,0.008632368043767293
ENSG00000100908,0.0018874633704277705,0.0015257685993736135
ENSG00000178573,0.00187716324607306,0.0029524952307481136
ENSG00000090447,0.0017408609753509707,0.0028793549371426397
ENSG00000224470,0.0017311825042006558,0.0033876432042102126
ENSG00000142544,0.0017164237938342808,0.0017933482419260805
ENSG00000185621,0.0016995253509114125,0.0017475192100222942
ENSG00000065526,0.0015860606192535573,0.0038963338875682265
ENSG00000114473,0.0015496196434020473,0.0013515492318859398
ENSG00000130021,0.001543038377292451,0.0035676433311775642
ENSG00000033800,0.0015322157234030822,0.0034001514815388493
ENSG00000171984,0.0015283048243441616,0.004971395633172778
ENSG00000164849,0.0014711971395539546,0.0020746036176415047
ENSG00000113263,0.0014694280633059515,0.006960925608441933
ENSG00000197530,0.0014634507528025374,0.0017857940341244182
ENSG00000125534,0.0014436042225656571,0.0028659691059846715
ENSG00000205758,0.0014428615619341944,0.00161254584804381
ENSG00000121060,0.0014408997403455672,0.004065840117310135
ENSG00000179388,0.0014287088835985536,0.0028732629635375316
ENSG00000165417,0.001424128406275154,0.004303703730211144
ENSG00000100811,0.0014162171182194871,0.010747313715341001
ENSG00000169375,0.001401472414690105,0.004745514825452232
ENSG00000135677,0.0014012188071289252,0.0014656878143070083
ENSG00000104881,0.0013949616693876485,0.001658471781036775
ENSG00000100003,0.001380929956320373,0.004088016366780071
ENSG00000041353,0.0013753984217498758,0.0022587997469923136
ENSG00000116661,0.0013688962468455844,0.0015177819301962672
ENSG00000196511,0.0013548447848565387,0.0014023575240092827
ENSG00000164104,0.0013384074227652247,0.0038755359435059394
ENSG00000155666,0.0013326661221233793,0.001921293867229927
ENSG00000169992,0.0012902282625310234,0.0017513395711680631
ENSG00000134460,0.0012721934630415476,0.004214573196485018
ENSG00000162604,0.0012608543735579778,0.0015526874748282994
ENSG00000100376,0.0012495273515806618,0.0015657235487882132
ENSG00000130522,0.0012349880188655738,0.005877160855119933
ENSG00000165671,0.0012337882546601014,0.005753567868695268
ENSG00000126767,0.0012087468507122382,0.0033754780033129804
ENSG00000124181,0.0012064420155936046,0.011139519249663273
ENSG00000213588,0.0012015898146687041,0.0017440346721811985
ENSG00000085449,0.0011962240172992064,0.0053395841448212016
ENSG00000198689,0.00119344875043111,0.004093174742691159
ENSG00000224420,0.0011920697034769404,0.0022448385851488494
ENSG00000119004,0.0011907897751127338,0.0019256794107542134
ENSG00000101190,0.0011849824994922527,0.003562503321269519
ENSG00000240972,0.0011840302626272893,0.0037315474755546915
ENSG00000185591,0.001174427109988241,0.02137257576942876
ENSG00000162396,0.0011663688244713374,0.0013563840471327961
ENSG00000132405,0.0011594165828639862,0.0031300300906190134
ENSG00000100393,0.0011376720094667557,0.0068266066104392216
ENSG00000172548,0.0011299991497213386,0.0014318246562355621
ENSG00000107872,0.0011291976815915531,0.001962015463552341
ENSG00000198521,0.0011270627847513354,0.00132212528704821
ENSG00000136451,0.0011256027269691553,0.0035254503319546732
ENSG00000157933,0.0011224730586365894,0.00634163292510981
ENSG00000096384,0.001110156992519571,0.002708453917986931
ENSG00000028839,0.0011095265753229698,0.003952621967672121
ENSG00000012779,0.0011087106380766655,0.0010950783160634473
ENSG00000140398,0.0011055537759302562,0.0015494802557355373
ENSG00000154134,0.0010998851705381581,0.0019576853537417315
ENSG00000164466,0.0010853807617998415,0.003472888868096545
ENSG00000163349,0.0010824693934868225,0.0018104562491595925
ENSG00000119508,0.001068723854857413,0.0037823433505745083
ENSG00000155363,0.0010682257717955707,0.0015591839540558881
ENSG00000164329,0.0010654625977044253,0.00200717925848404
ENSG00000152558,0.0010530690353119023,0.0019004551046415434
