prediction_model,coverage,comparator,applicability_risk,comparator_risk,risk_improvement,ci_low,ci_high,p_value,applicability_false_confidence_rate,comparator_false_confidence_rate,false_confidence_rate_increased,status,q_value
frozen_cd4_transfer,0.8,random_abstention,1.474393217868786,1.5113356986301065,0.03694248076132056,-0.08538986274838262,0.15054045640764196,0.26573426573426573,0.09438775510204081,0.1,False,developmental_only,0.5228105228105228
frozen_cd4_transfer,0.8,response_magnitude,1.474393217868786,1.4897963770081453,0.015403159139359301,-0.06180205511281031,0.08597369542430133,0.31368631368631367,0.09438775510204081,0.08928571428571429,True,developmental_only,0.5228105228105228
frozen_cd4_transfer,0.8,degree,1.474393217868786,1.4312844453161184,-0.04310877255266754,-0.09680990820425737,0.015247771450078164,0.9280719280719281,0.09438775510204081,0.08418367346938775,True,developmental_only,0.9280719280719281
frozen_cd4_transfer,0.8,uncertainty_only,1.474393217868786,1.500666819638232,0.026273601769446042,-0.0538695908700123,0.09266043633991805,0.23476523476523475,0.09438775510204081,0.09693877551020408,False,developmental_only,0.5228105228105228
frozen_cd4_transfer,0.8,reliability_only,1.474393217868786,1.4373757149751454,-0.037017502893640586,-0.0920747621563473,0.018804083696914966,0.9040959040959041,0.09438775510204081,0.07653061224489796,True,developmental_only,0.9280719280719281
without_vector,0.8,random_abstention,1.363566159092658,1.443644526418982,0.08007836732632412,-0.03413748708151726,0.1814547993156421,0.08591408591408592,0.09948979591836735,0.09795918367346938,True,developmental_only,0.1431901431901432
without_vector,0.8,response_magnitude,1.363566159092658,1.454946463368064,0.091380304275406,0.03183944262960105,0.14678815642955795,0.001998001998001998,0.09948979591836735,0.09183673469387756,True,developmental_only,0.004995004995004995
without_vector,0.8,degree,1.363566159092658,1.346469829105301,-0.017096329987356995,-0.05292498083217831,0.023071599793348416,0.7922077922077922,0.09948979591836735,0.08163265306122448,True,developmental_only,0.7922077922077922
without_vector,0.8,uncertainty_only,1.363566159092658,1.4956076770081554,0.13204151791549745,0.0735238174240787,0.19727449523529844,0.000999000999000999,0.09948979591836735,0.10459183673469388,False,developmental_only,0.004995004995004995
without_vector,0.8,reliability_only,1.363566159092658,1.3676187507628812,0.0040525916702232045,-0.04852034830042441,0.04971119852722249,0.45054945054945056,0.09948979591836735,0.07908163265306123,True,developmental_only,0.5631868131868132
